serial,name_bn,name_en
1,বাংলা সাহিত্য,Bangla Sahityo
2,বাংলা সহপাঠ,Bangla Sahopath
3,বাংলা ভাষার ব্যাকরণ ও নির্মিতি,Bangla Bhasar Byakaran O Nirmiti
4,English For Today,English For Today
5,English Grammar and Composition,English Grammar and Composition
6,গণিত,Mathematics
7,তথ্য ও যোগাযোগ প্রযুক্তি,Information And Communication Technology
8,বিজ্ঞান,Science
9,পদার্থবিজ্ঞান,Physics
10,রসায়ন,Chemistry
11,জীববিজ্ঞান,Biology
12,উচ্চতর গণিত,Higher Mathematics
13,ভূগোল ও পরিবেশ,Geography and Environment
14,অর্থনীতি,Economics
15,কৃষিশিক্ষা,Agriculture Studies
16,গার্হস্থ্যবিজ্ঞান,Home Science
17,পৌরনীতি ও নাগরিকতা,Civics and Citizenship
18,হিসাববিজ্ঞান,Accounting
19,ফিন্যান্স ও ব্যাংকিং,Finance and Banking
20,ব্যবসায় উদ্যোগ,Business Entrepreneurship
21,ইসলাম শিক্ষা,Islamic Studies
22,হিন্দুধর্ম শিক্ষা,Hindu Religion Studies
23,বৌদ্ধধর্ম শিক্ষা,Buddhist Religion Studies
24,খ্রীষ্টধর্ম শিক্ষা,Christian Religion Studies
25,ক্যারিয়ার শিক্ষা,Career Education
26,বাংলাদেশ ও বিশ্বপরিচয়,Bangladesh And Global Studies
27,চারু ও কারুকলা,Arts and Crafts
28,বাংলাদেশের ইতিহাস ও বিশ্বসভ্যতা,History of Bangladesh and World Civilization
29,শারীরিক শিক্ষা স্বাস্থ্যবিজ্ঞান ও খেলাধুলা,"Physical Education, Health Science and Sports"
30,আরবি,Arabic
31,সংস্কৃত,Sanskrit
32,পালি,Pali
33,সংগীত,Music
